,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NIV = 1,,,NIV = 5,,,NIV = 10,,,NIV = 20,,,NIV = 30,,,NIV = 50,,,NIV = 70,,,NIV = 90,,,,,
,D/N,DUR,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,Beta,Alpha,
,0.166055556,14.945,1.6555,0.3311,0.0222,5.7655,1.1531,0.0772,10.2365,2.0473,0.137,19.9295,3.9859,0.2667,34.591,6.9182,0.4629,66.3345,13.2669,0.8877,104.361,20.8722,1.3966,133.4765,26.6953,1.7862,26.694759,5.000101331,133.4765
,0.166055556,14.945,1.554,0.3108,0.0208,5.3745,1.0749,0.0719,10.012,2.0024,0.134,20.131,4.0262,0.2694,37.6505,7.5301,0.5039,74.2725,14.8545,0.9939,103.8095,20.7619,1.3892,127.2245,25.4449,1.7026,,,
,0.166055556,14.945,1.426,0.2852,0.0191,5.4465,1.0893,0.0729,10.491,2.0982,0.1404,19.879,3.9758,0.266,41.7555,8.3511,0.5588,73.4875,14.6975,0.9834,98.336,19.6672,1.316,121.7065,24.3413,1.6287,,,
,0.197055556,17.735,1.6955,0.3391,0.0191,6.719,1.3438,0.0758,12.684,2.5368,0.143,23.3825,4.6765,0.2637,53.1585,10.6317,0.5995,87.9525,17.5905,0.9919,112.8355,22.5671,1.2725,144.2875,28.8575,1.6272,,,
,0.197055556,17.735,1.6925,0.3385,0.0191,6.756,1.3512,0.0762,12.1475,2.4295,0.137,23.4545,4.6909,0.2645,53.454,10.6908,0.6028,81.135,16.227,0.915,112.9025,22.5805,1.2732,143.7375,28.7475,1.6209,,,
,0.197055556,17.735,1.7235,0.3447,0.0194,6.6065,1.3213,0.0745,12.2275,2.4455,0.1379,24.1235,4.8247,0.272,53.0065,10.6013,0.5978,79.659,15.9318,0.8983,110.8125,22.1625,1.2496,140.563,28.1126,1.5851,,1.7862,0.166055556
,0.213666667,19.23,1.91,0.382,0.0199,6.8965,1.3793,0.0717,13.3505,2.6701,0.1388,25.73,5.146,0.2676,57.2705,11.4541,0.5956,88.049,17.6098,0.9157,118.7055,23.7411,1.2346,152.306,30.4612,1.584,,0.2273,1.1996
,0.213666667,19.23,1.945,0.389,0.0202,7.3875,1.4775,0.0768,13.5655,2.7131,0.1411,25.818,5.1636,0.2685,53.475,10.695,0.5562,87.501,17.5002,0.91,119.272,23.8544,1.2405,148.65,29.73,1.546,,,
,0.213666667,19.23,1.879,0.3758,0.0195,6.9225,1.3845,0.072,13.3495,2.6699,0.1388,25.5645,5.1129,0.2659,53.382,10.6764,0.5552,87.2025,17.4405,0.9069,117.794,23.5588,1.2251,136.649,27.3298,1.4212,,0.895330649,-0.858783047
,0.277666667,24.99,1.2335,0.2467,0.0099,4.6435,0.9287,0.0372,8.585,1.717,0.0687,16.908,3.3816,0.1353,33.41,6.682,0.2674,55.764,11.1528,0.4463,79.472,15.8944,0.636,84.927,16.9854,0.6797,,,
,0.277666667,24.99,1.217,0.2434,0.0097,4.6945,0.9389,0.0376,8.549,1.7098,0.0684,16.751,3.3502,0.1341,34.5395,6.9079,0.2764,54.7415,10.9483,0.4381,74.2205,14.8441,0.594,88.218,17.6436,0.706,,beta,1.042557433
