IJK, RMBM, TBX, ZETABX, RTYTXB, RZXZYB, TYPEVF, MU0, ALPHA0, ALPHA1, NU, UMAX, KG, CG, DG
1, 1, 2.0, 0, 1, 1, 0, 0.01, 0, 0, 0, 100, 0, 0, 1000
2, 1, 3.0, 0, 1, 1, 0, 0.01, 0, 0, 0, 100, 0, 0, 1000
3, 1, 5.0, 0, 1, 1, 0, 0.01, 0, 0, 0, 100, 0, 0, 1000
4, 1, 2.0, 0, 1, 1, 0, 0.05, 0, 0, 0, 100, 0, 0, 1000
5, 1, 3.0, 0, 1, 1, 0, 0.05, 0, 0, 0, 100, 0, 0, 1000
6, 1, 5.0, 0, 1, 1, 0, 0.05, 0, 0, 0, 100, 0, 0, 1000
7, 1, 2.0, 0, 1, 1, 0, 0.05, 0, 0, 0, 100, 0, 0, 1000
8, 1, 3.0, 0, 1, 1, 0, 0.05, 0, 0, 0, 100, 0, 0, 1000
9, 1, 5.0, 0, 1, 1, 0, 0.05, 0, 0, 0, 100, 0, 0, 1000

