IJK,NST,TX1,ZETA,RTYTX,STYP
1,1,0.001,0.05,1,0
2,1,0.002,0.05,1,0
3,1,0.003,0.05,1,0
4,1,0.004,0.05,1,0
5,1,0.005,0.05,1,0
6,1,0.01,0.05,1,0
7,1,0.02,0.05,1,0
8,1,0.03,0.05,1,0
9,1,0.04,0.05,1,0
10,1,0.05,0.05,1,0
11,1,0.1,0.05,1,0
12,1,0.15,0.05,1,0
13,1,0.2,0.05,1,0
14,1,0.25,0.05,1,0
15,1,0.3,0.05,1,0
16,1,0.35,0.05,1,0
17,1,0.4,0.05,1,0
18,1,0.45,0.05,1,0
19,1,0.5,0.05,1,0
20,1,0.55,0.05,1,0
21,1,0.6,0.05,1,0
22,1,0.65,0.05,1,0
23,1,0.7,0.05,1,0
24,1,0.75,0.05,1,0
25,1,0.8,0.05,1,0
26,1,0.85,0.05,1,0
27,1,0.9,0.05,1,0
28,1,0.95,0.05,1,0
29,1,1,0.05,1,0
30,1,1.05,0.05,1,0
31,1,1.1,0.05,1,0
32,1,1.15,0.05,1,0
33,1,1.2,0.05,1,0
34,1,1.25,0.05,1,0
35,1,1.3,0.05,1,0
36,1,1.35,0.05,1,0
37,1,1.4,0.05,1,0
38,1,1.45,0.05,1,0
39,1,1.5,0.05,1,0
40,1,1.55,0.05,1,0
41,1,1.6,0.05,1,0
42,1,1.65,0.05,1,0
43,1,1.7,0.05,1,0
44,1,1.75,0.05,1,0
45,1,1.8,0.05,1,0
46,1,1.85,0.05,1,0
47,1,1.9,0.05,1,0
48,1,1.95,0.05,1,0
49,1,2,0.05,1,0
50,1,2.05,0.05,1,0
51,1,2.1,0.05,1,0
52,1,2.15,0.05,1,0
53,1,2.2,0.05,1,0
54,1,2.25,0.05,1,0
55,1,2.3,0.05,1,0
56,1,2.35,0.05,1,0
57,1,2.4,0.05,1,0
58,1,2.45,0.05,1,0
59,1,2.5,0.05,1,0
60,1,2.55,0.05,1,0
61,1,2.6,0.05,1,0
62,1,2.65,0.05,1,0
63,1,2.7,0.05,1,0
64,1,2.75,0.05,1,0
65,1,2.8,0.05,1,0
66,1,2.85,0.05,1,0
67,1,2.9,0.05,1,0
68,1,2.95,0.05,1,0
69,1,3,0.05,1,0
70,1,3.05,0.05,1,0
71,1,3.1,0.05,1,0
72,1,3.15,0.05,1,0
73,1,3.2,0.05,1,0
74,1,3.25,0.05,1,0
75,1,3.3,0.05,1,0
76,1,3.35,0.05,1,0
77,1,3.4,0.05,1,0
78,1,3.45,0.05,1,0
79,1,3.5,0.05,1,0
80,1,3.55,0.05,1,0
81,1,3.6,0.05,1,0
82,1,3.65,0.05,1,0
83,1,3.7,0.05,1,0
84,1,3.75,0.05,1,0
85,1,3.8,0.05,1,0
86,1,3.85,0.05,1,0
87,1,3.9,0.05,1,0
88,1,3.95,0.05,1,0
89,1,4,0.05,1,0
90,1,4.05,0.05,1,0
91,1,4.1,0.05,1,0
92,1,4.15,0.05,1,0
93,1,4.2,0.05,1,0
94,1,4.25,0.05,1,0
95,1,4.3,0.05,1,0
96,1,4.35,0.05,1,0
97,1,4.4,0.05,1,0
98,1,4.45,0.05,1,0
99,1,4.5,0.05,1,0
100,1,4.55,0.05,1,0
101,1,4.6,0.05,1,0
102,1,4.65,0.05,1,0
103,1,4.7,0.05,1,0
104,1,4.75,0.05,1,0
105,1,4.8,0.05,1,0
106,1,4.85,0.05,1,0
107,1,4.9,0.05,1,0
108,1,4.95,0.05,1,0
109,1,5,0.05,1,0
110,1,5.05,0.05,1,0
111,1,5.1,0.05,1,0
112,1,5.15,0.05,1,0
113,1,5.2,0.05,1,0
114,1,5.25,0.05,1,0
115,1,5.3,0.05,1,0
116,1,5.35,0.05,1,0
117,1,5.4,0.05,1,0
118,1,5.45,0.05,1,0
119,1,5.5,0.05,1,0
120,1,5.55,0.05,1,0
121,1,5.6,0.05,1,0
122,1,5.65,0.05,1,0
123,1,5.7,0.05,1,0
124,1,5.75,0.05,1,0
125,1,5.8,0.05,1,0
126,1,5.85,0.05,1,0
127,1,5.9,0.05,1,0
128,1,5.95,0.05,1,0
129,1,6,0.05,1,0
130,1,6.05,0.05,1,0
131,1,6.1,0.05,1,0
132,1,6.15,0.05,1,0
133,1,6.2,0.05,1,0
134,1,6.25,0.05,1,0
135,1,6.3,0.05,1,0
136,1,6.35,0.05,1,0
137,1,6.4,0.05,1,0
138,1,6.45,0.05,1,0
139,1,6.5,0.05,1,0
140,1,6.55,0.05,1,0
141,1,6.6,0.05,1,0
142,1,6.65,0.05,1,0
143,1,6.7,0.05,1,0
144,1,6.75,0.05,1,0
145,1,6.8,0.05,1,0
146,1,6.85,0.05,1,0
147,1,6.9,0.05,1,0
148,1,6.95,0.05,1,0
149,1,7,0.05,1,0
150,1,7.05,0.05,1,0
151,1,7.1,0.05,1,0
152,1,7.15,0.05,1,0
153,1,7.2,0.05,1,0
154,1,7.25,0.05,1,0
155,1,7.3,0.05,1,0
156,1,7.35,0.05,1,0
157,1,7.4,0.05,1,0
158,1,7.45,0.05,1,0
159,1,7.5,0.05,1,0
160,1,7.55,0.05,1,0
161,1,7.6,0.05,1,0
162,1,7.65,0.05,1,0
163,1,7.7,0.05,1,0
164,1,7.75,0.05,1,0
165,1,7.8,0.05,1,0
166,1,7.85,0.05,1,0
167,1,7.9,0.05,1,0
168,1,7.95,0.05,1,0
169,1,8,0.05,1,0
